Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PIS016;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS017;PISTOLA DE PINTURA GRACO MAX WPR;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS018;PISTOLA DE PINTURA GRACO MAX WPR;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS019;PISTOLA DE PINTURA GRACO MAX WPR;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PLA004;PLAINA UNIVERSAL;1000;F;NÍVEL 2 - MÉDIO;PB2-82230;M;1000-FABCE-FERRA;(FÁBRICA CENTRAL FERRAMENTARIA) NÃO USAR;INAT MONT;1010;;
PLA005;PLAINA;1000;F;NÍVEL 2 - MÉDIO;PB2-82230;M;1000-FABCE-FERRA;(FÁBRICA CENTRAL FERRAMENTARIA) NÃO USAR;INAT MONT;1010;;PLA
PLA006;PLAINA UNIVERSAL;1000;C;;PB2-82330;M;1000-FABCE-FERRA;(FÁBRICA CENTRAL FERRAMENTARIA) NÃO USAR;INAT MONT;1010;;
PLA007;PLAINA GRANDE 4M NI 8167;1000;F;NÍVEL 2 - MÉDIO;PB2-82330;M;1000-FABCE-FERRA;(FÁBRICA CENTRAL FERRAMENTARIA) NÃO USAR;INAT MONT;1010;PLA007;PLA
PLC001;POLICORTE PAN CUT 40;1000;C;;PB2-82310;M;1000-METRO;METROLOGIA;MONT;1010;;
PLM001;PLASMA MANUAL 80 AMPERES ESAB;1000;F;NÍVEL 1 - FÁCIL;PB2-81330;M;1000-FABCE-GREST;FÁBRICA CENTRAL GR ESTAMPARIA;MONT;1010;PLM001;
PLM002;PLASMA MANUAL 100 AMPERES;1000;F;NÍVEL 1 - FÁCIL;PB2-81240;M;1000-FABSL-MANUT;FÁBRICA UENSILOS MANUTENÇÃO INDUSTRIAL;MONT;1010;PLM002;PLM
